Name,Default,Type,"Description"
fromRoleNames,null,List<String>,"List of role names. Only users in these roles are loaded. Leave empty to load all users."
componentId,user-selection,String,"Unique identifier of this component instance."
selectedUser,null,UserDTO,"Holds the selected user value."
excludedUsernames,null,List<String>,"List of usernames to exclude from selection. Only applies when using the default completeMethod."
requiredMessage,This field is required,String,"Validation message displayed when the required field is empty."
forceSelection,true,Boolean,"When enabled, only users from the suggestion list can be selected."
minQueryLength,1,Integer,"Minimum number of characters required to start searching."
completeMethod,completeUser,Method Expression,"Custom method for loading users. Must accept a String query and return List<UserDTO>."
isDisabled,false,Boolean,"Disables the user selection input."
isRequired,false,Boolean,"Marks the user selection field as required."
isReadOnly,false,Boolean,"Prevents changing the selected user when enabled."
isRenderedMessage,true,Boolean,"Controls whether validation messages are rendered."
hightlight,true,Boolean,"Automatically highlights the first suggested user."
floatingLabel,false,Boolean,"Displays the label using floating style."
autoCompleteStyleClass,null,String,"CSS style class applied to the autocomplete component."
autoCompletePanelStyleClass,null,String,"CSS style class applied to the autocomplete dropdown panel."
inputStyleClass,null,String,"CSS style class applied to the autocomplete input field."
labelStyleClass,null,String,"CSS style class applied to the label."
label,null,String,"Label text for the user selection component."
size,null,Integer,"Number of characters used to define the input width."
messageStyleClass,null,String,"CSS style class applied to the validation message."
itemLabel,displayName,String,"Text displayed for users in the dropdown and the selected value."
cache,true,Boolean,"Caches autocomplete search results when enabled."
moreText,"More...",String,"Text displayed for the 'More' link when results exceed the limit."
queryDelay,300,Integer,"Delay in milliseconds before sending the search query."
maxResults,100,Integer,"Maximum number of results displayed in the dropdown."
scrollHeight,390,Integer,"Maximum height of the autocomplete dropdown panel."
hasCustomizedSelectionList,false,Boolean,"Displays a customized selection list when enabled."
isShowAvatarInSelectionList,,Boolean,"| Displays user avatars in the selection list when enabled. Set to true to show avatar.
| The setting will detect Portal setting Portal.ShowAvatar as its default value, refer to HowTo: Update :ref:`update-portal-settings` for more details.
| If the Portal setting is not available, defaults to true."
displayNameRenderedInSelectionList,true,Boolean,"Controls visibility of the user display name in the selection list."
displayNameInSelectionListStyleClass,null,String,"CSS style class for the user display name in the selection list."
selectionListContainerStyleClass,null,String,"CSS style class for the selection list item container."
emptyMessage,"No results",String,"Message displayed when no results are available."
